GeneID	Length	logFC	logCPM	LR	PValue	FDR
ENSG00000069122	6650	-5.61974639748379	7.8931936567587	146.447693777772	1.03626210459913e-33	2.72350406330744e-30
ENSG00000197172	1863	-5.554990228693	6.59955714376966	127.939946485054	1.15691107968147e-29	2.17185264258489e-26
ENSG00000259974	5552	-6.347082140398	5.21371996213984	122.343693645208	1.94121538928181e-28	2.83439015895025e-25
ENSG00000110852	2638	-5.98691398684359	5.02122793923663	104.547472734736	1.53471924801504e-24	1.83343142165142e-21
ENSG00000196155	7328	-5.11229009741074	5.02308308664773	92.1608393103884	7.99105256838764e-22	7.00069478674547e-19
ENSG00000164176	5738	-4.50487815940816	7.68601591174226	90.8422044850238	1.55598834920642e-21	1.27795268105759e-18
ENSG00000168497	3229	-4.49717677734355	7.51741031351614	87.3956920793778	8.88437892904055e-21	6.86762491214835e-18
ENSG00000189143	4702	-6.3133064763243	5.13877806449077	85.3512934636383	2.49798532059773e-20	1.8236680609986e-17
ENSG00000113140	4831	-4.98086842932242	5.25689562291171	83.4853792726861	6.4188957393573e-20	4.43951099531022e-17
ENSG00000125170	4788	-4.57681500259345	5.00076225553486	82.5607336135379	1.02472653647208e-19	6.73296570788981e-17
ENSG00000140937	13381	-6.78508933053869	6.33217062083074	80.5495663834078	2.83503630176012e-19	1.77405771625856e-16
ENSG00000132182	8182	-4.30463269645021	6.18885996245436	71.0195922337155	3.53695045964879e-17	1.78765638424018e-14
ENSG00000057294	7043	-4.24068206937999	6.08382431869604	70.782580905996	3.98843076540893e-17	1.94118402549032e-14
ENSG00000125798	2603	-4.21499639335746	5.08438671084415	68.3223045353616	1.38841622828025e-16	6.29144057097613e-14
ENSG00000136542	6818	-4.70155854346338	4.34697137196732	67.7237694782538	1.88082403177526e-16	8.23863620051958e-14
ENSG00000165272	2928	-5.39746507580717	5.36100620598776	65.9408663135162	4.64656729522087e-16	1.96969486537089e-13
ENSG00000105699	2916	-3.78923460975731	6.05232330176641	65.5011663533195	5.80795833560299e-16	2.38507439025496e-13
ENSG00000112297	10374	-5.3064007100762	5.85252066970836	64.9759930753963	7.58161249992456e-16	3.01908999580329e-13
ENSG00000010438	1664	-4.67179031503394	4.01112862947075	63.2497699273511	1.82088928729499e-15	7.03773709539512e-13
ENSG00000173801	4942	-5.33168925373603	6.93621706467072	62.6355256497024	2.48726219077927e-15	9.32406749424026e-13
ENSG00000198121	4159	-3.29849403797927	6.73984426483277	62.300642137037	2.94828936416773e-15	1.04712082525752e-12
ENSG00000215182	17448	-4.86269117316494	4.95153742121371	60.5342463847679	7.230946985285e-15	2.43645831624693e-12
ENSG00000096696	10093	-3.6737534003761	5.04656960329956	59.7018877848756	1.10370623740116e-14	3.62595091642217e-12
ENSG00000000971	8145	-4.91241934425224	6.08422918081137	54.7275715095746	1.38450249355957e-13	4.33184458758723e-11
ENSG00000169439	4536	-3.25826814818501	7.0747965211576	54.2793340533396	1.73921344735657e-13	5.19431907084378e-11
ENSG00000120833	6776	-4.07025148290606	3.76136283970175	52.2632083408151	4.85383643922807e-13	1.35711201378502e-10
ENSG00000117114	7754	-3.21538631497138	6.18980475656197	51.543034407434	7.00447658593157e-13	1.87848626154545e-10
ENSG00000074527	4166	-3.93314298558133	4.1194295047075	50.8979455181812	9.72953721518382e-13	2.55711697089461e-10
ENSG00000205413	6855	-3.30980848193379	5.38742872536173	50.7448037750727	1.05190688778599e-12	2.71041341419523e-10
ENSG00000244306	6465	-3.89976375433448	3.76401250390781	50.5697037089003	1.150067442173e-12	2.90635312646065e-10
ENSG00000168672	5404	-5.22568497548524	3.66187469827016	50.4660153489965	1.21246310523024e-12	2.97657908556456e-10
ENSG00000103888	7621	-4.19628037698874	4.97775912628915	50.4487793623704	1.22315859234827e-12	2.97657908556456e-10
ENSG00000121895	2562	-3.38811354111889	5.67917152741653	49.5938399247273	1.89106542164087e-12	4.51827103741503e-10
ENSG00000173705	5008	-3.57838122336819	5.25347225466046	49.5415759414835	1.94212003669337e-12	4.55739275039063e-10
ENSG00000119922	3489	-3.43113597043764	6.20849262723653	49.4406950731544	2.04460014998546e-12	4.71370010016824e-10
ENSG00000152078	7402	-3.43425928145497	5.0492249818991	48.5123795877488	3.28210460912217e-12	7.4362304600818e-10
ENSG00000008311	4591	-3.45312652464656	5.19195576481881	48.3806186533069	3.51020382557032e-12	7.81823533420671e-10
ENSG00000198771	5718	-3.45103367994032	4.78286198174086	48.1790662196124	3.89019387176588e-12	8.52017294481258e-10
ENSG00000230257	1072	-4.2274246953531	3.88956150527678	48.0717249337551	4.10909459245458e-12	8.8520675474501e-10
ENSG00000124664	1914	-4.49526351345336	4.24370725326077	47.5838185698685	5.27017044448512e-12	1.11702112598353e-09
ENSG00000213983	6897	-3.14519270568226	5.901744555099	47.361900647478	5.90187165925080e-12	1.19317685344946e-09
ENSG00000112414	8473	-3.50039974578722	6.63440245543595	47.2718327610688	6.17938463314329e-12	1.23035293127479e-09
ENSG00000100342	3519	-4.17195415943872	3.75956261955395	47.1911095384058	6.4391851082738e-12	1.26294524638546e-09
ENSG00000110492	2196	-4.46683811055238	4.16897608778873	47.0105460886025	7.06057584981615e-12	1.36445628297697e-09
ENSG00000185745	4613	-3.16713465550951	5.48617993793904	44.5744796317702	2.44862677647827e-11	4.53202879854942e-09
ENSG00000123843	3219	-4.79190641142019	5.44682761818391	43.8695117734354	3.51014326828469e-11	6.40649898451793e-09
ENSG00000174705	7977	-3.59014924051639	3.70146282743447	43.7200948081839	3.78861668781671e-11	6.72283768955584e-09
